timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_closed_conf,ml_mouth_yawn_conf,fused_score,eye_closed_fused,closure_duration_s,yawn_duration_s,status
1773318944.3768,98,23.0,0.2378,0.2913,0.2645,0.0078,0.1895,0.1463,0.0000,0,0.0000,0.0000,NORMAL
1773318944.3978,99,48.0,0.2431,0.2933,0.2682,0.0082,0.1837,0.1463,0.0000,0,0.0000,0.0000,NORMAL
1773318944.4404,100,23.2,0.2559,0.2635,0.2597,0.0059,0.1866,0.2948,0.0000,0,0.0000,0.0000,NORMAL
1773318944.5042,101,15.9,0.2453,0.2979,0.2716,0.0081,0.2091,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.5244,102,49.3,0.2430,0.2908,0.2669,0.0087,0.2259,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.5684,103,22.7,0.2588,0.2985,0.2786,0.0097,0.2012,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.5879,104,51.0,0.2651,0.2912,0.2782,0.0112,0.1465,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.6482,105,16.5,0.2477,0.3225,0.2851,0.0046,0.1955,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.6662,106,57.3,0.2500,0.3143,0.2821,0.0054,0.1883,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.6822,107,62.1,0.2527,0.3222,0.2874,0.0068,0.1839,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318944.7118,108,32.4,0.2787,0.2986,0.2886,0.0084,0.1689,0.1685,0.0000,0,0.0000,0.0000,NORMAL
1773318944.7298,109,59.7,0.2820,0.3047,0.2933,0.0072,0.1459,0.1815,0.0000,0,0.0000,0.0000,NORMAL
1773318944.7768,110,20.8,0.3147,0.3149,0.3148,0.0131,0.1349,0.1697,0.0000,0,0.0000,0.0000,NORMAL
1773318944.7928,111,65.5,0.3064,0.3062,0.3063,0.0096,0.1337,0.1836,0.0000,0,0.0000,0.0000,NORMAL
1773318944.8403,112,21.0,0.3220,0.3721,0.3471,0.0032,0.1611,0.1757,0.0000,0,0.0000,0.0000,NORMAL
1773318944.9049,113,15.6,0.2954,0.3570,0.3262,0.0093,0.2028,0.1757,0.0000,0,0.0000,0.0000,NORMAL
1773318944.9181,114,74.7,0.3025,0.3536,0.3280,0.0064,0.2358,0.1715,0.0000,0,0.0000,0.0000,NORMAL
1773318944.9710,115,18.9,0.2814,0.3544,0.3179,0.0045,0.1691,0.1508,0.0000,0,0.0000,0.0000,NORMAL
1773318944.9820,116,75.5,0.2870,0.3816,0.3343,0.0035,0.1023,0.1437,0.0000,0,0.0000,0.0000,NORMAL
1773318944.9980,117,68.0,0.3035,0.3762,0.3399,0.0025,0.0830,0.1440,0.0000,0,0.0000,0.0000,NORMAL
1773318945.0485,118,20.0,0.2430,0.3765,0.3097,0.0125,0.0499,0.1428,0.0000,0,0.0000,0.0000,NORMAL
1773318945.0616,119,79.4,0.3012,0.4165,0.3588,0.0237,0.0451,0.1645,0.0000,0,0.0000,0.0000,NORMAL
1773318945.1124,120,19.7,0.2121,0.3741,0.2931,0.0152,0.0623,0.2387,0.0000,0,0.0000,0.0000,NORMAL
1773318945.1244,121,82.0,0.2500,0.3778,0.3139,0.0164,0.0670,0.2781,0.0000,0,0.0000,0.0000,NORMAL
1773318945.1764,122,19.3,0.2608,0.3676,0.3142,0.0083,0.1740,0.2548,0.0000,0,0.0000,0.0000,NORMAL
1773318945.1884,123,81.5,0.2620,0.3583,0.3102,0.0088,0.1209,0.2644,0.0000,0,0.0000,0.0000,NORMAL
1773318945.2397,124,19.4,0.2439,0.3026,0.2732,0.0121,0.2866,0.5180,0.0000,0,0.0000,0.0000,NORMAL
1773318945.3709,125,7.6,0.2922,0.3178,0.3050,0.0239,0.2349,0.2897,0.0000,0,0.0000,0.0000,NORMAL
1773318945.3919,126,48.5,0.2944,0.3337,0.3141,0.0130,0.2491,0.1533,0.0000,0,0.0000,0.0000,NORMAL
1773318945.5152,127,8.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318945.5326,128,55.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318945.5484,129,59.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318945.5633,130,70.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318945.6419,131,12.6,0.2497,0.2312,0.2405,0.1814,0.1328,0.2710,0.0000,0,0.0000,0.0000,NORMAL
1773318945.6569,132,70.3,0.2254,0.2449,0.2351,0.1419,0.1506,0.2813,0.0000,0,0.0000,0.0000,NORMAL
1773318945.6729,133,65.9,0.2393,0.2015,0.2204,0.2237,0.2427,0.2801,0.0000,0,0.0000,0.0000,NORMAL
1773318945.7707,134,10.2,0.2549,0.2440,0.2495,0.0105,0.0618,0.8392,0.0000,0,0.0000,0.0000,NORMAL
1773318945.7819,135,82.6,0.2402,0.2381,0.2391,0.0094,0.0634,0.8911,0.0000,0,0.0000,0.0000,NORMAL
1773318945.9138,136,7.6,0.2390,0.2744,0.2567,0.0045,0.0034,0.9210,0.0000,0,0.0000,0.0000,NORMAL
1773318945.9368,137,42.8,0.2406,0.2651,0.2529,0.0056,0.0059,0.9511,0.0000,0,0.0000,0.0000,NORMAL
1773318945.9528,138,61.8,0.2388,0.2659,0.2524,0.0061,0.0059,0.9422,0.0000,0,0.0000,0.0000,NORMAL
1773318945.9689,139,64.6,0.2388,0.2653,0.2521,0.0062,0.0059,0.9422,0.0000,0,0.0000,0.0000,NORMAL
1773318946.0419,140,13.6,0.1930,0.2228,0.2079,0.0042,0.1501,0.8515,0.4500,0,0.0000,0.0000,NORMAL
1773318946.0619,141,50.0,0.2010,0.2128,0.2069,0.0007,0.1485,0.7627,0.4500,0,0.0000,0.0000,NORMAL
1773318946.0771,142,66.2,0.1921,0.2172,0.2046,0.0035,0.1155,0.8010,0.4500,0,0.0000,0.0000,NORMAL
1773318946.1866,143,9.1,0.1593,0.2537,0.2065,0.0034,0.1630,0.8493,0.4500,0,0.0000,0.0000,NORMAL
1773318946.2021,144,64.6,0.1701,0.2461,0.2081,0.0071,0.1461,0.8626,0.4500,0,0.0000,0.0000,NORMAL
1773318946.3130,145,9.0,0.2477,0.3082,0.2779,0.0077,0.0059,0.7548,0.0000,0,0.0000,0.0000,NORMAL
1773318946.3280,146,65.2,0.2445,0.2993,0.2719,0.0051,0.0046,0.6434,0.0000,0,0.0000,0.0000,NORMAL
1773318946.3440,147,60.6,0.2435,0.2955,0.2695,0.0049,0.0058,0.5848,0.0000,0,0.0000,0.0000,NORMAL
1773318946.3590,148,69.0,0.2413,0.2945,0.2679,0.0053,0.0058,0.5848,0.0000,0,0.0000,0.0000,NORMAL
1773318946.4411,149,12.2,0.2680,0.2969,0.2825,0.0041,0.0304,0.9088,0.0000,0,0.0000,0.0000,NORMAL
1773318946.4531,150,80.6,0.2755,0.2738,0.2747,0.0028,0.0194,0.8619,0.0000,0,0.0000,0.0000,NORMAL
1773318946.4691,151,65.0,0.2736,0.2749,0.2742,0.0030,0.0194,0.8619,0.0000,0,0.0000,0.0000,NORMAL
1773318946.5848,152,8.6,0.2492,0.2810,0.2651,0.0019,0.0552,0.7960,0.0000,0,0.0000,0.0000,NORMAL
1773318946.6093,153,40.8,0.2442,0.2758,0.2600,0.0014,0.0513,0.7960,0.0000,0,0.0000,0.0000,NORMAL
1773318946.7140,154,9.5,0.2536,0.2887,0.2712,0.0009,0.0604,0.8560,0.0000,0,0.0000,0.0000,NORMAL
1773318946.7350,155,47.4,0.2515,0.3023,0.2769,0.0020,0.0612,0.8534,0.0000,0,0.0000,0.0000,NORMAL
1773318946.7510,156,62.8,0.2486,0.3022,0.2754,0.0022,0.0612,0.8242,0.0000,0,0.0000,0.0000,NORMAL
1773318946.7670,157,59.5,0.2485,0.3009,0.2747,0.0025,0.0612,0.8395,0.0000,0,0.0000,0.0000,NORMAL
1773318946.8408,158,13.7,0.2758,0.2908,0.2833,0.0032,0.0631,0.8583,0.0000,0,0.0000,0.0000,NORMAL
1773318946.8607,159,50.6,0.2652,0.2836,0.2744,0.0015,0.0478,0.8833,0.0000,0,0.0000,0.0000,NORMAL
1773318946.8768,160,62.5,0.2569,0.2824,0.2696,0.0020,0.0478,0.7944,0.0000,0,0.0000,0.0000,NORMAL
1773318946.9880,161,8.8,0.2322,0.2788,0.2555,0.0017,0.0457,0.9151,0.0000,0,0.0000,0.0000,NORMAL
1773318947.0020,162,73.2,0.2210,0.2888,0.2549,0.0011,0.0389,0.9151,0.0000,0,0.0000,0.0000,NORMAL
1773318947.1152,163,8.9,0.2210,0.2669,0.2440,0.0020,0.0854,0.8003,0.0000,0,0.0000,0.0000,NORMAL
1773318947.1272,164,86.4,0.2119,0.2571,0.2345,0.0033,0.0687,0.8148,0.0000,0,0.0000,0.0000,NORMAL
1773318947.1432,165,65.0,0.2068,0.2658,0.2363,0.0029,0.0567,0.8003,0.0000,0,0.0000,0.0000,NORMAL
1773318947.1592,166,60.5,0.2067,0.2637,0.2352,0.0030,0.0567,0.8003,0.0000,0,0.0000,0.0000,NORMAL
1773318947.2408,167,12.3,0.2222,0.2417,0.2320,0.0027,0.1391,0.8247,0.0000,0,0.0000,0.0000,NORMAL
1773318947.2528,168,77.2,0.2254,0.2284,0.2269,0.0028,0.0877,0.8660,0.0000,0,0.0000,0.0000,NORMAL
1773318947.2688,169,65.7,0.2334,0.2310,0.2322,0.0030,0.1297,0.8727,0.0000,0,0.0000,0.0000,NORMAL
1773318947.3850,170,8.6,0.2372,0.2455,0.2413,0.0014,0.0260,0.8509,0.0000,0,0.0000,0.0000,NORMAL
1773318947.3940,171,121.7,0.2285,0.2497,0.2391,0.0031,0.0958,0.9130,0.0000,0,0.0000,0.0000,NORMAL
1773318947.5151,172,8.2,0.2167,0.2137,0.2152,0.0026,0.0588,0.8304,0.0000,0,0.0000,0.0000,NORMAL
1773318947.5352,173,50.1,0.2260,0.2284,0.2272,0.0026,0.0387,0.8469,0.0000,0,0.0000,0.0000,NORMAL
1773318947.5511,174,53.8,0.2300,0.2213,0.2256,0.0034,0.0347,0.8249,0.0000,0,0.0000,0.0000,NORMAL
1773318947.5629,175,88.3,0.2267,0.2147,0.2207,0.0037,0.0433,0.7948,0.0000,0,0.0000,0.0000,NORMAL
