timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_conf,ml_mouth_conf,fused,eye_closed_raw,eye_closed_valid,blink_dur,yawn_dur,yawn_count,perclos,status
1774194356.0500,91,33.5,0.2793,0.2611,0.2702,0.0015,0.8657,0.3406,0.2597,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.0665,92,58.0,0.2792,0.2579,0.2686,0.0025,0.8657,0.3406,0.2597,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.0812,93,67.8,0.2780,0.2586,0.2683,0.0026,0.8657,0.3434,0.2597,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.1453,94,15.7,0.2817,0.2622,0.2719,0.0032,0.8813,0.3651,0.2644,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.1601,95,66.7,0.2741,0.2590,0.2665,0.0030,0.9596,0.3820,0.2879,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.1914,96,32.3,0.2728,0.2583,0.2656,0.0033,0.9655,0.3820,0.2896,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.2215,97,32.5,0.2705,0.2576,0.2640,0.0033,0.9474,0.3820,0.2842,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.2908,98,14.5,0.2635,0.2724,0.2680,0.0030,0.9125,0.4427,0.2738,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.3155,99,41.6,0.2681,0.2720,0.2700,0.0034,0.9251,0.4427,0.2775,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.3302,100,63.6,0.2707,0.2736,0.2722,0.0035,0.9251,0.4427,0.2775,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.3464,101,62.1,0.2706,0.2734,0.2720,0.0035,0.9251,0.4427,0.2775,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.4189,102,13.8,0.2763,0.2823,0.2793,0.0042,0.8220,0.4837,0.2466,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.4406,103,47.3,0.2727,0.2808,0.2767,0.0037,0.9113,0.3433,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.4564,104,60.6,0.2727,0.2811,0.2769,0.0032,0.9113,0.4837,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.4731,105,55.4,0.2736,0.2810,0.2773,0.0030,0.9113,0.3433,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.5465,106,13.8,0.2770,0.2673,0.2722,0.0024,0.9515,0.4632,0.2854,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.5651,107,57.0,0.2724,0.2653,0.2689,0.0032,0.9515,0.4632,0.2854,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.5817,108,56.4,0.2718,0.2617,0.2668,0.0037,0.9515,0.4837,0.2854,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.5964,109,71.1,0.2691,0.2618,0.2655,0.0037,0.9515,0.4930,0.2854,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.6916,110,10.5,0.2716,0.2654,0.2685,0.0027,0.9553,0.4700,0.2866,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.7052,111,74.4,0.2744,0.2643,0.2693,0.0035,0.9553,0.4700,0.2866,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.7355,112,32.7,0.2726,0.2679,0.2703,0.0028,0.9553,0.4933,0.2866,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.7513,113,62.8,0.2731,0.2697,0.2714,0.0030,0.9553,0.4933,0.2866,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.8191,114,14.8,0.2602,0.2668,0.2635,0.0050,0.9061,0.3778,0.2718,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.8443,115,39.9,0.2592,0.2656,0.2624,0.0054,0.9104,0.3687,0.2731,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.8598,116,63.0,0.2609,0.2654,0.2632,0.0055,0.9104,0.3891,0.2731,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.8758,117,60.0,0.2596,0.2654,0.2625,0.0054,0.9104,0.3891,0.2731,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.9454,118,14.5,0.2710,0.2611,0.2660,0.0015,0.9550,0.5390,0.2865,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.9705,119,39.5,0.2702,0.2629,0.2666,0.0009,0.9550,0.5390,0.2865,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.0021,120,29.3,0.2712,0.2626,0.2669,0.0010,0.9550,0.5390,0.2865,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.0338,121,34.8,0.2715,0.2616,0.2666,0.0011,0.9550,0.5390,0.2865,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.0907,122,17.4,0.2806,0.2639,0.2722,0.0033,0.9084,0.3508,0.2725,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.1118,123,50.3,0.2798,0.2608,0.2703,0.0029,0.9084,0.3887,0.2725,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.1283,124,59.7,0.2791,0.2613,0.2702,0.0029,0.9084,0.4144,0.2725,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.1585,125,32.6,0.2796,0.2615,0.2705,0.0029,0.9084,0.4144,0.2725,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.2174,126,17.0,0.2701,0.2509,0.2605,0.0045,0.9673,0.5995,0.2902,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.2324,127,66.7,0.2756,0.2578,0.2667,0.0061,0.8762,0.5995,0.2629,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.2511,128,51.7,0.2757,0.2555,0.2656,0.0059,0.8860,0.5995,0.2658,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.2814,129,34.2,0.2757,0.2557,0.2657,0.0062,0.8860,0.5995,0.2658,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.3466,130,15.2,0.1886,0.1311,0.1599,0.0045,0.9920,0.3727,0.9976,1,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.3615,131,68.5,0.2012,0.1368,0.1690,0.0054,0.9934,0.3912,0.9980,1,0,0.0149,0.0000,0,0.0000,NORMAL
1774194357.3757,132,67.1,0.2010,0.1537,0.1773,0.0058,0.9933,0.3912,0.9980,1,0,0.0295,0.0000,0,0.0000,NORMAL
1774194357.4069,133,31.7,0.2018,0.1532,0.1775,0.0057,0.9933,0.3912,0.9980,1,0,0.0618,0.0000,0,0.0000,NORMAL
1774194357.4899,134,12.1,0.2563,0.2293,0.2428,0.0021,0.9827,0.4255,0.2948,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.5048,135,62.8,0.2545,0.2166,0.2355,0.0024,0.9827,0.4416,0.2948,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.5213,136,55.0,0.2516,0.2183,0.2350,0.0027,0.9827,0.4416,0.2948,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.5476,137,42.2,0.2515,0.2194,0.2355,0.0026,0.9827,0.4416,0.2948,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.6181,138,14.4,0.2491,0.2446,0.2468,0.0024,0.9827,0.3861,0.2948,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.6405,139,44.3,0.2500,0.2462,0.2481,0.0025,0.9259,0.3861,0.2778,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.6580,140,54.6,0.2495,0.2458,0.2477,0.0028,0.9827,0.3861,0.2948,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.6726,141,71.3,0.2501,0.2455,0.2478,0.0026,0.9259,0.3861,0.2778,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.7624,142,11.2,0.1110,0.1278,0.1194,0.0051,0.9975,0.4046,0.9993,1,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.7809,143,51.1,0.1143,0.1300,0.1221,0.0037,0.9977,0.3678,0.9993,1,0,0.0186,0.0000,0,0.0000,NORMAL
1774194357.7968,144,65.4,0.1172,0.1482,0.1327,0.0045,0.9977,0.3678,0.9993,1,0,0.0341,0.0000,0,0.0000,NORMAL
1774194357.8290,145,31.2,0.1225,0.1361,0.1293,0.0040,0.9977,0.3678,0.9993,1,0,0.0661,0.0000,0,0.0000,NORMAL
1774194357.8909,146,16.1,0.2415,0.2310,0.2363,0.0014,0.9854,0.4116,0.2956,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.9214,147,33.4,0.2457,0.2257,0.2357,0.0024,0.9910,0.3924,0.2973,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.9369,148,62.5,0.2475,0.2298,0.2387,0.0031,0.9910,0.3924,0.2973,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194357.9532,149,59.2,0.2457,0.2314,0.2385,0.0032,0.9910,0.3924,0.2973,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.0183,150,15.4,0.2634,0.2458,0.2546,0.0011,0.9769,0.4014,0.2931,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.0436,151,40.5,0.2602,0.2505,0.2553,0.0008,0.9769,0.4014,0.2931,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.0732,152,33.3,0.2601,0.2409,0.2505,0.0012,0.9769,0.4014,0.2931,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.0900,153,59.0,0.2571,0.2366,0.2468,0.0010,0.9692,0.4014,0.2908,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.1621,154,13.8,0.2611,0.2466,0.2539,0.0040,0.9670,0.4566,0.2901,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.1840,155,48.5,0.2679,0.2505,0.2592,0.0036,0.9670,0.4667,0.2901,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.1996,156,63.1,0.2664,0.2499,0.2582,0.0039,0.9670,0.4566,0.2901,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.2151,157,62.6,0.2669,0.2519,0.2594,0.0038,0.9670,0.4566,0.2901,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.2897,158,13.4,0.2508,0.2426,0.2467,0.0027,0.9591,0.3731,0.2877,0,0,0.0000,0.0000,0,0.0000,NORMAL
